formitem_id,form,section,number,text,source_document
A3-F2-3,A3-F2,,3,"What severity is this incident being classified as? Severity 1 ☐ Severity 2 ☐ Affected critical system(s)/ Incident occurred on customer facing system or network that applications/systems, could put the bank’s crippled Internal network or network / critical system(s) a combination of the above or a combination of them at risk Information about the Incident",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-4,A3-F2,,4,"Please indicate the date and time the incident was reported to the RBI. If it is also reported to Other Agencies (CERT-IN/NCIIP), Law enforcement agencies, separately indicate the date and time of such reporting. (Please specify in Indian Local Time (+5.30 GMT)) Reported to RBI - Date: Click here to enter a date. Reported to CERT-IN Date: Click here to enter a date. Reported to NCIIP Date: Click here to enter a date. Reported to ----mention the name of agency Date: Click here to enter a date.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-5,A3-F2,,5,"Types of Threat/Incident ((Please select more than one, as applicable) ☐ Denial of Service (DoS) ☐ Distributed Denial of Service (DDoS) ☐ Virus/Worm/Trojan/Malware ☐ Intrusion/Hack/Unauthorised access ☐ Website Defacement ☐ Misuse of Systems/Inappropriate usage ☐ APT/0-day attack ☐ Spear phishing/Whaling/Phishing/Wishing/Social engineering attack ☐ Other: Click here to enter text.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-6,A3-F2,,6,"Is this incident related to another incident previously reported? Choose an item.  If “Yes”, provide more information on how both incidents are related. Click here to enter text.  Please provide the reference no. of the previously reported incident. Ref no: Click here to enter text. Incident Details",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-7,A3-F2,,7,Please provide details of the incident in the box below.  When was the incident first observed/sighted/detected? Click here to enter a date.  How was the incident first observed/sighted/detected? Click here to enter text.  Who observed?,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-8,A3-F2,,8,"Please provide details of the critical system(s) or network(s) that is/are impacted by this incident. Details should minimally include: -Location, purpose of this system/ network, affected applications (including hardware manufacturer, software developer, make/ model, etc.) running on the systems/ networks, etc. Click here to enter text. What security software installed on the system currently? If known, any TCP or UDP ports involved in the incident. If known, provide the affected system’s IP address If known, provide the attacker’s IP address Where relevant, please indicate the Operating System of the affected critical system(s): Choose an item.  If others, kindly state the OS: Click here to enter text.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-9,A3-F2,,9,What is the impact of the attack? (Tick ‘one’ checkbox for each column) Customer Service (Loss of ) Sensitive Public Confidence and Delivery Information Reputation ☐No Impact ☐No loss ☐No Impact ☐Minor Impact ☐Minor Loss ☐Minor Impact ☐Major Impact ☐Major Loss ☐Major Impact ☐Serious Impact ☐Serious Loss ☐Serious Impact ☐Severe Impact ☐Severe Loss ☐Severe impact,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-10,A3-F2,,10,"Does the affected critical system(s)/ network(s) have potential impact to another critical system/critical asset(s) of the bank? Choose an item.  If “Yes”, please provide more details. Click here to enter text. Incident Status",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-11,A3-F2,,11,What is/are the type(s) of follow up action(s) that has/have been taken at this time? Click here to enter text.,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-12,A3-F2,,12,"What is the current status or resolution of this incident? Choose an item. If it is not resolved, what is the next course of actions? Click here to enter text.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-13,A3-F2,,13,What is the earliest known date of attack or compromise? (Tick ‘checkbox’ if unknown) (Please specify in Indian Local Time +5.30 GMT) Date: Click here to enter a date. Unknown: ☐,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-14,A3-F2,,14,What is the source/cause of the incident? (‘NIL’ OR ‘NA’ if unknown) Click here to enter text.,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-15,A3-F2,,15,"Has the incident been reported to CERT-IN/NCIIP/ any law enforcement agency/IBCART? Choose an item.  If “Yes”, specify the agency that is being reported to. Click here to enter text..",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-16,A3-F2,,16,Is chain of custody maintained?,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-17,A3-F2,,17,Has the bank filled chain of custody form?,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-18,A3-F2,,18,What tools were used for collecting the evidence for the incident?,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-E1,A3-F2,Attack Vectors,E1,"Did the bank locate/identify IP addresses, domain names, related to the incident Whether the Indicators of Compromise, list of IP addresses identified from the incident, involvement of the IP addresses in the incident (ex. Victim, Malware Command & Control Servers, etc.), domain names resolved, involvement of the domain names in the incident. (ex. Drive-by-download Servers, Malware Control & Command Servers, defaced website), email addresses identified and their involvement, malicious files/attachments (file name, size, MD5/SHA1 hash, etc. ) etc. have been reported in IB-CART/CERT-IN/NCIIP/Law enforcement agencies",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
