guidanceitem_id,parent_riskarea_id,text,source_document
gi_inc_1,ra_incentives,"Provision of free or significantly discounted billing, nursing, or other staff services;","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_inc_2,ra_incentives,Payment of the cost of a physician's travel and expenses for conferences;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_inc_3,ra_incentives,"Payment for a physician's services that require few, if any, substantive duties by the physician; and","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_inc_4,ra_incentives,"Guarantees that if the physician's income fails to reach a predetermined level, the entity will supplement the remainder up to a certain amount.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_pc_1,ra_professional_courtesy,"A physician's regular and consistent practice of extending professional courtesy by waiving the entire fee for services rendered to a group of persons (including employees, physicians, and/or their family members) may not implicate any of the OIG's fraud and abuse authorities so long as membership in the group receiving the courtesy is determined in a manner that does not take into account, directly or indirectly, any group member's ability to refer to, or otherwise generate, federal health care program business for the physician.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_pc_2,ra_professional_courtesy,"A physician's regular and consistent practice of extending professional courtesy by waiving otherwise applicable co-payments for services rendered to a group of persons (including employees, physicians, and/or their family members) would not implicate the Anti-Kickback Statute so long as membership in the group is determined in a manner that does not take into account, directly or indirectly, any group member's ability to refer to, or otherwise generate, federal health care program business for the physician. However, such a practice of waiving co-payments would implicate the prohibition of inducements to patients if the patient for whom the co-payment is waived is a beneficiary of a federal health care program who is not financially needy.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_1,ra_inducements,Free or discounted office space or equipment;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_2,ra_inducements,"Free or discounted billing, nursing, or other staff services;","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_3,ra_inducements,Free training for a physician's office staff;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_4,ra_inducements,Income guarantees;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_5,ra_inducements,"Low-interest or interest-free loans, including “forgiven” loans;","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_6,ra_inducements,Payments for physician services that involve few substantive duties or exceed fair market value; and/or,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_7,ra_inducements,"Payment for physician continuing medical education courses, or travel and expense payments to attend conferences.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_8,ra_inducements,"It is generally recommended that all business arrangements in which physician practices refer business to, or order services or items from, an outside entity should be on a fair market value basis. Adhering to the rule of keeping business arrangements at fair market value is not a guarantee of legality, but it is a highly useful general rule. Whenever a physician practice intends to enter into a business arrangement that involves making referrals, the arrangement should be reviewed by legal counsel familiar with the anti-kickback and physician self-referral statutes.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_ahk_9,ra_inducements,"In addition to developing standards and procedures to address arrangements with other health care providers and suppliers, physician practices should also consider implementing measures to avoid offering inappropriate inducements to patients. Examples of such inducements include routinely waiving coinsurance or deductible amounts without a good faith determination that the patient is in financial need or failing to make reasonable efforts to collect the cost-sharing amount.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
