example_id,statute_id,example_type,text,source_document
ex_aks_3,stat_aks,Violating conduct,A home health agency disguises referral fees as salaries by paying a physician for services either never rendered or in excess of fair market value for the services rendered.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_aks_4,stat_aks,Violating conduct,Payment by a hospital or other facility to a physician for each patient the hospital or facility admits.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_aks_5,stat_aks,Violating conduct,Payment by a hospital for medical director services in excess of fair market value.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cfca_1,stat_civil_fca,OIG example,"A physician submitted claims to Medicare and Medicaid representing that he had personally performed certain services when, in reality, the services were performed by a nonphysician and they were not reimbursable under the federal health care programs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cfca_2,stat_civil_fca,OIG example,A cardiologist intentionally upcoded office visits and angioplasty consultations that were submitted for payment to Medicare.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cfca_3,stat_civil_fca,OIG example,"A podiatrist knowingly submitted claims to the Medicare and Medicaid programs for non-routine surgical procedures when he actually performed routine, non-covered services such as the cutting and trimming of toenails and the removal of corns and calluses.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cfca_4,stat_civil_fca,Deliberate ignorance,"An example of deliberate ignorance would be a physician who ignores provider update bulletins and thus does not inform his or her staff of changes in the Medicare billing guidelines or update his or her billing system in accordance with said changes. When claims for non-reimbursable services are submitted as a result, the False Claims Act has been violated.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cfca_5,stat_civil_fca,Reckless disregard,An example of reckless disregard would be a physician who assigns the billing function to an untrained office person without inquiring whether the employee has the requisite knowledge and training to accurately file such claims.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_stark_1,stat_stark,Violation example,A physician works in a medical clinic and also owns a free-standing laboratory located in the same city. The physician referred all orders for laboratory tests on her patients to the laboratory she owned.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_stark_2,stat_stark,Violation example,"A doctor agreed to serve as the medical director of Home Health Agency (HHA) for which he was paid a sum substantially above the fair market value for his services. In return, he routinely referred his Medicare and Medicaid patients to HHA for home health services.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_stark_3,stat_stark,Violation example,A physician received a monthly stipend of $500 from a local hospital to assist him in meeting practice expenses. The doctor performed no specific services for the stipend and had no obligation to repay the hospital. The doctor referred patients to the hospital for inpatient surgery.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cmp_1,stat_ma_other,Civil monetary penalty example,Dr. X paid Medicare and Medicaid beneficiaries $20 each time they visited him to receive services and have tests performed that were not preventive care services and tests.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cmp_2,stat_ma_other,Civil monetary penalty example,"Dr. X hired a physician assistant (PA) to provide services to Medicare and Medicaid beneficiaries without conducting a background check. Had Dr. X performed a background check by reviewing the HHS-OIG List of Excluded Individuals/Entities, he would have discovered that he should not hire the PA because the PA was excluded from participation in federal health care programs for a period of five years.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_cmp_3,stat_ma_other,Civil monetary penalty example,Dr. X and his oximetry company billed Medicare for pulse oximetry services that he knew were not performed and for services that had been intentionally upcoded.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_1,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Billing for services not actually rendered,","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_2,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Billing for non-covered services as if covered,","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_3,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Providing medically unnecessary services,","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_4,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Knowing misuse of provider numbers,","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_5,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Upcoding the level of service provided,","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_6,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,"Duplicate billing that results in duplicate payment, and/or","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_sp4_7,,Standards of Conduct — activity at risk for charges of unlawful coding and billing,Unbundling a global or all-inclusive fee.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
