paragraph_id,article_id,article_number,paragraph_number,citation,text,source_document
art_6_p5,art_6,6,5,Art. 6 para. 5,"Any person who processes personal data must satisfy themselves that the data are accurate. They must take all appropriate measures to correct, delete or destroy data that are incorrect or incomplete insofar as the purpose for which they are collected or processed is concerned. The appropriateness of the measures depends in particular on the form and the extent of the processing and on the risk that the processing poses to the data subject's personality or fundamental rights.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p6,art_6,6,6,Art. 6 para. 6,"If the consent of the data subject is required, such consent is only valid if given voluntarily for one or more specific instances of processing based on appropriate information.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p7,art_6,6,7,Art. 6 para. 7,The consent must be explicitly given for:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_7_p1,art_7,7,1,Art. 7 para. 1,"The controller is obliged to arrange the data processing in technical and organisational terms so that the data protection regulations, and in particular the principles under Article 6, are respected. It shall take account of this from the planning stage.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_7_p2,art_7,7,2,Art. 7 para. 2,"The technical and organisational measures must in particular be appropriate with regard to the state of the art, the nature and the extent of the data processing and the risk that the processing poses to the data subject's personality or fundamental rights.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_7_p3,art_7,7,3,Art. 7 para. 3,"The controller is obliged to ensure by means of suitable default settings that the processing of personal data is limited to the minimum required for the purpose intended, unless the data subject specifies otherwise.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_8_p1,art_8,8,1,Art. 8 para. 1,The controller and the processor shall guarantee a level of data security appropriate to the risk by taking suitable technical and organisational measures.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_8_p2,art_8,8,2,Art. 8 para. 2,The measures must make it possible to avoid breaches of data security.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_8_p3,art_8,8,3,Art. 8 para. 3,The Federal Council shall issue provisions on the minimum requirements for data security.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p1,art_9,9,1,Art. 9 para. 1,The processing of personal data may be assigned by contract or by the legislation to a processor if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p2,art_9,9,2,Art. 9 para. 2,The controller must satisfy itself in particular that the processor is able to guarantee data security.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p3,art_9,9,3,Art. 9 para. 3,The processor may only assign processing to a third party with prior approval from the controller.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p4,art_9,9,4,Art. 9 para. 4,It may claim the same grounds for justification as the controller.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p1,art_10,10,1,Art. 10 para. 1,Private controllers may appoint a data protection officer.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p2,art_10,10,2,Art. 10 para. 2,The data protection officer is the contact point for the data subjects and for the authorities responsible for data protection in Switzerland. He or she has the following tasks in particular:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p3,art_10,10,3,Art. 10 para. 3,Private controllers may invoke the exception in Article 23 paragraph 4 if the following requirements are satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p4,art_10,10,4,Art. 10 para. 4,The Federal Council shall regulate the appointment of data protection officers by federal bodies.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_11_p1,art_11,11,1,Art. 11 para. 1,"Professional, industry and trade associations that are authorised to safeguard the economic interests of their members in their articles of association and federal bodies may submit codes of conduct to the FDPIC.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_11_p2,art_11,11,2,Art. 11 para. 2,The FDPIC shall state and publish his or her opinions on the codes of conduct.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p1,art_12,12,1,Art. 12 para. 1,The controller and the processor shall each maintain a record of their processing activities.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2,art_12,12,2,Art. 12 para. 2,The controller's record shall as a minimum contain:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p3,art_12,12,3,Art. 12 para. 3,"The processor's record shall contain information on identity of the processor and of the controller, the categories of processing carried out on behalf of the controller, and the information mentioned in paragraph 2 letters f and g.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p4,art_12,12,4,Art. 12 para. 4,The federal bodies shall notify the FDPIC of their records of processing activities.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p5,art_12,12,5,Art. 12 para. 5,The Federal Council shall provide exceptions for legal entities that have fewer than 250 employees and whose data processing poses a negligible risk of harm to the personality of the data subjects.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_13_p1,art_13,13,1,Art. 13 para. 1,"The manufacturers of data processing systems or programs and controllers and processors may have their systems, products and services evaluated by recognised independent certification bodies.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_13_p2,art_13,13,2,Art. 13 para. 2,"The Federal Council shall issue regulations on the recognition of certification procedures and the introduction of a data protection quality mark. In doing so, it shall take account of international law and the internationally recognised technical standards.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p1,art_14,14,1,Art. 14 para. 1,Private controllers with registered office or domicile abroad shall appoint a representative in Switzerland if they process the personal data of persons in Switzerland and the data processing meets the following requirements:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p2,art_14,14,2,Art. 14 para. 2,The representative shall serve as the contact point for the data subjects and the FDPIC.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p3,art_14,14,3,Art. 14 para. 3,The controller shall publish the name and the address of the representative.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_15_p1,art_15,15,1,Art. 15 para. 1,The representative shall maintain a record of controller's processing activities that contains the information set out in Article 12 paragraph 2.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_15_p2,art_15,15,2,Art. 15 para. 2,"On request, he or she shall provide the FDPIC with the information contained in the record.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_15_p3,art_15,15,3,Art. 15 para. 3,"On request, the representative shall provide data subjects with information on how they can exercise their rights.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p1,art_16,16,1,Art. 16 para. 1,Personal data may be disclosed abroad if the Federal Council has decided that the legislation of the State concerned or the international body guarantees an adequate level of protection.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2,art_16,16,2,Art. 16 para. 2,"In the absence of a decision by the Federal Council under paragraph 1, personal data may be disclosed abroad only if an appropriate level of data protection is guaranteed by:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p3,art_16,16,3,Art. 16 para. 3,The Federal Council may provide for other appropriate guarantees in line with paragraph 2.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1,art_17,17,1,Art. 17 para. 1,"In derogation from Article 16 paragraphs 1 and 2, personal data may be disclosed abroad in the following cases:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p2,art_17,17,2,Art. 17 para. 2,"The controller or the processor shall inform the FDPIC on request about the disclosure of personal data under paragraph 1 letters b number 2, c and d.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_18_p0,art_18,18,,Art. 18,"If personal data are made generally accessible by means of automated information and communications services in order to provide information to the general public, this is not deemed to be disclosure abroad, even if the data are accessible from abroad.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p1,art_19,19,1,Art. 19 para. 1,The controller shall inform the data subject in an appropriate manner when collecting personal data; this duty to provide information also applies if the data is not collected from the data subject.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p2,art_19,19,2,Art. 19 para. 2,It shall provide the data subject on collecting the data with the information required for the data subject to exercise their rights under this Act and to guarantee transparent data processing; it shall provide the following information as a minimum:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p3,art_19,19,3,Art. 19 para. 3,"If the data is not collected from the data subject, the controller shall also inform the data subject of the categories of processed personal data.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p4,art_19,19,4,Art. 19 para. 4,"If the personal data are disclosed abroad, the controller shall also inform the data subject of the State or the international body to which such data are disclosed and if applicable of the guarantees under Article 16 paragraph 2 or the application of an exception under Article 17.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p5,art_19,19,5,Art. 19 para. 5,"If the data is not collected from the data subject, the controller shall also inform the data subject of the information specified in paragraphs 2-4 at the latest one month after receiving the data. If the controller discloses the personal data before the expiry of this deadline, it shall inform the data subject at the time of disclosure at the latest.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p1,art_20,20,1,Art. 20 para. 1,The duty to provide information under Article 19 ceases to apply if one of the following requirements is satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p2,art_20,20,2,Art. 20 para. 2,"If the personal data is not collected from the data subject, the duty to provide information also ceases to apply if any one of the following requirements is satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3,art_20,20,3,Art. 20 para. 3,"The controller may restrict, delay or dispense with the communication of the information in the following cases:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p4,art_20,20,4,Art. 20 para. 4,Legal entities that belong to the same group of companies are not third parties within the meaning of paragraph 3 letter c number 2.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p1,art_21,21,1,Art. 21 para. 1,The controller shall inform the data subject about any decision that is based exclusively on automated processing and that has a legal consequence for or a considerable adverse effect on the data subject (automated individual decision).,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p2,art_21,21,2,Art. 21 para. 2,It shall on request allow the data subject to express their point of view. The data subject may request that the automated individual decision be reviewed by a natural person.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p3,art_21,21,3,Art. 21 para. 3,Paragraphs 1 and 2 do not apply if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p4,art_21,21,4,Art. 21 para. 4,"If the automated individual decision is issued by a federal body, it must designate the decision accordingly. Paragraph 2 does not apply if, in accordance with Article 30 paragraph 2 of the Administrative Procedure Act of 20 December 1968 (APA) or another federal act, the data subject is not entitled to a hearing before the decision is taken.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p1,art_22,22,1,Art. 22 para. 1,"If processing is likely to result in a high risk to the data subject's personality or fundamental rights, the controller shall carry out a data protection impact assessment beforehand. If several similar processing procedures are planned, a joint assessment may be carried out.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p2,art_22,22,2,Art. 22 para. 2,"The existence of a high risk, in particular when using new technologies, depends on the nature, extent, circumstances and purpose of the processing. A high risk arises in particular:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p3,art_22,22,3,Art. 22 para. 3,"The data protection impact assessment shall include a description of the planned processing, an evaluation of the risks to the data subject's personality or fundamental rights and a description of the measures to protect personality and fundamental rights.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p4,art_22,22,4,Art. 22 para. 4,Private controllers are exempt from having to carry out a data protection impact assessment if they are required by law to process the data.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p5,art_22,22,5,Art. 22 para. 5,"A private controller may dispense with carrying out a data protection impact assessment if it uses a system, product or service that is certified under Article 13 for the intended use, or if it complies with a code of conduct under Article 11 that satisfies the following requirements:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_23_p1,art_23,23,1,Art. 23 para. 1,"If the data protection impact assessment indicates that the planned processing despite the measures planned by the controller will still pose a high risk to the personality or the data subject's fundamental rights, the controller shall seek the FDPIC's opinion beforehand.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_23_p2,art_23,23,2,Art. 23 para. 2,The FDPIC shall inform the controller within two months of any objections to the planned processing. This deadline may be extended by one month if the data processing is complex.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_23_p3,art_23,23,3,Art. 23 para. 3,"If the FDPIC objects to the planned processing, he or she shall propose suitable measures to the controller.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_23_p4,art_23,23,4,Art. 23 para. 4,A private controller may dispense with consulting the FDPIC if it has consulted the data protection officer under Article 10.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p1,art_24,24,1,Art. 24 para. 1,The controller shall notify the FDPIC of any breach of data security that is likely to lead to a high risk to the data subject's personality or fundamental rights as quickly as possible.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p2,art_24,24,2,Art. 24 para. 2,"In the notification, it shall as a minimum specify the nature of the breach of data security, its consequences and the measures taken or planned.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p3,art_24,24,3,Art. 24 para. 3,The processor shall notify the controller of any breach of data security as quickly as possible.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p4,art_24,24,4,Art. 24 para. 4,The controller shall inform the data subject if this is required for their protection or if the FDPIC so requests.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p5,art_24,24,5,Art. 24 para. 5,"It may limit, delay or dispense with the provision of information to the data subject if:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p5bis,art_24,24,5bis,Art. 24 para. 5bis,"With the controller's consent, the FDPIC may forward the notification to the National Cyber Security Centre for analysis. The communication may contain sensitive personal data, including data relating to administrative and criminal proceedings or sanctions involving the controller.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p6,art_24,24,6,Art. 24 para. 6,A notification made pursuant to this Article may only be used against the person required to notify in criminal proceedings with that person's consent.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p1,art_25,25,1,Art. 25 para. 1,Any person may request information from the controller on whether personal data relating to them is being processed.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2,art_25,25,2,Art. 25 para. 2,"The data subject shall receive the information required to be able to exercise their rights under this Act and to guarantee transparent data processing. In every case, they are entitled to the following information:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p3,art_25,25,3,Art. 25 para. 3,The data subject may consent to having personal data relating to their health communicated by a health profession of their choice.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p4,art_25,25,4,Art. 25 para. 4,"If the controller arranges for personal data to be processed by a processor, it remains under a duty to provide information.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p5,art_25,25,5,Art. 25 para. 5,No one may waive their right to information in advance.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p6,art_25,25,6,Art. 25 para. 6,"The controller must provide information free of charge. The Federal Council may provide for exceptions, in particular if the effort required is disproportionate.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p7,art_25,25,7,Art. 25 para. 7,The information shall in general be provided within 30 days.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p1,art_26,26,1,Art. 26 para. 1,"The controller may refuse to provide information, or restrict or delay the provision of information if:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2,art_26,26,2,Art. 26 para. 2,"Furthermore, it is possible to refuse, restrict or delay the provision of information in the following cases:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p3,art_26,26,3,Art. 26 para. 3,Legal entities that belong to the same group of companies are not third parties within the meaning of paragraph 2 letter a number 2.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p4,art_26,26,4,Art. 26 para. 4,"The controller must indicate why it is refusing, restricting or delaying the provision of the information.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27_p1,art_27,27,1,Art. 27 para. 1,"If personal data are processed exclusively for their publication in the editorial section of a periodically published medium, the controller may refuse, restrict or delay the provision of information for one of the following reasons:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27_p2,art_27,27,2,Art. 27 para. 2,"Journalists may also refuse, restrict or delay the provision of information if they are using the personal data exclusively as an aid to their own personal work.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28_p1,art_28,28,1,Art. 28 para. 1,Any person may request the controller to deliver the personal data that they have disclosed to it in a conventional electronic format if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28_p2,art_28,28,2,Art. 28 para. 2,The data subject may also request the controller to transfer their personal data to another controller if the requirements in paragraph 1 are met and no disproportionate effort is required.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28_p3,art_28,28,3,Art. 28 para. 3,"The controller must deliver or transfer the personal data free of charge. The Federal Council may provide for exceptions, in particular if the effort is disproportionate.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_29_p1,art_29,29,1,Art. 29 para. 1,"The controller may refuse, restrict or delay the delivery or transfer of personal data for the reasons set out in Article 26 paragraphs 1 and 2.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_29_p2,art_29,29,2,Art. 29 para. 2,"The controller must give reasons why it has decided to refuse, restrict or delay the delivery or transfer.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p1,art_30,30,1,Art. 30 para. 1,Any person who processes personal data must not unlawfully breach the data subjects' personality rights.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p2,art_30,30,2,Art. 30 para. 2,A breach of personality rights arises in particular if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p3,art_30,30,3,Art. 30 para. 3,In general no breach of personality rights arises if the data subject makes the personal data generally accessible and has not explicitly prohibited any processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p1,art_31,31,1,Art. 31 para. 1,"A breach of personality rights is unlawful unless it is justified by the consent of the data subject, by an overriding private or public interest, or by the law.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2,art_31,31,2,Art. 31 para. 2,The controller may have an overriding interest in the following cases in particular:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p1,art_32,32,1,Art. 32 para. 1,The data subject may request that incorrect personal data be corrected unless:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p2,art_32,32,2,Art. 32 para. 2,"Actions to protect the personality are governed by the Articles 28, 28a and 28g-28l of the Civil Code. The applicant may in particular request that:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p3,art_32,32,3,Art. 32 para. 3,"If neither the accuracy nor the inaccuracy of the relevant personal data can be established, the applicant may request that the data be marked as being disputed.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p4,art_32,32,4,Art. 32 para. 4,"The applicant may also request that any correction, deletion or destruction, prohibition of processing or disclosure to third parties, marking as disputed or judgment be communicated to third parties or be published.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_33_p0,art_33,33,,Art. 33,"The Federal Council shall regulate the control procedures and responsibility for data protection in cases in which a federal body processes personal data jointly with other federal bodies, with cantonal bodies or with private persons.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p1,art_34,34,1,Art. 34 para. 1,Federal bodies may only process personal data if there is a statutory basis for doing so.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p2,art_34,34,2,Art. 34 para. 2,A statutory basis in a formal law is required in the following cases:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p3,art_34,34,3,Art. 34 para. 3,A statutory basis in a substantive law is sufficient as the basis for processing personal data under paragraph 2 letters a and b provided the following requirements are satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p4,art_34,34,4,Art. 34 para. 4,"In derogation from the paragraphs 1-3, federal bodies may process personal data if any one one of the following requirements is satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p1,art_35,35,1,Art. 35 para. 1,"Before a formal enactment comes into force, the Federal Council may authorise the automated processing of sensitive personal data or other data processing under Article 34 paragraph 2 letters b and c if:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p2,art_35,35,2,Art. 35 para. 2,The Federal Council shall obtain the FDPIC's opinion beforehand.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p3,art_35,35,3,Art. 35 para. 3,"The competent federal body shall submit an evaluation report to the Federal Council no later than two years after the start of the pilot trial. In the report, it shall propose the continuation or discontinuation of the processing.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p4,art_35,35,4,Art. 35 para. 4,Automated data processing must in every case be discontinued if no formal enactment containing the required legal basis has come into force within five years of the start of the pilot trial.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p1,art_36,36,1,Art. 36 para. 1,Federal bodies may only disclose personal data if there is a statutory basis for doing so in accordance with Article 34 paragraphs 1-3.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2,art_36,36,2,Art. 36 para. 2,"They may disclose personal data in specific cases in derogation from paragraph 1, if any one of the following requirements is satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p3,art_36,36,3,Art. 36 para. 3,The federal bodies may furthermore disclose personal data as part of official information provided to the public or based on the Freedom of Information Act of 17 December 2004 if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p4,art_36,36,4,Art. 36 para. 4,"They may also disclose a person's surname, first name, address and date of birth on request even if the requirements in paragraphs 1 or 2 are not satisfied.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p5,art_36,36,5,Art. 36 para. 5,"They may make personal data generally accessible by means of automated information and communications services if there is a legal basis for publishing the data or if they disclose data based on paragraph 3. If there is no longer a public interest in making the data generally accessible, the data concerned shall be deleted from the automated information and communications service.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p6,art_36,36,6,Art. 36 para. 6,The federal bodies shall refuse or restrict disclosure or make disclosure subject to requirements if:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37_p1,art_37,37,1,Art. 37 para. 1,A data subject who credibly shows a legitimate interest may object to the disclosure of specific personal data by the responsible federal body.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37_p2,art_37,37,2,Art. 37 para. 2,The federal body shall reject the objection if any one of the following requirements is satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37_p3,art_37,37,3,Art. 37 para. 3,Article 36 paragraph 3 remains reserved.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_38_p1,art_38,38,1,Art. 38 para. 1,"In accordance with the Archiving Act of 26 June 1998, federal bodies shall offer to the Federal Archives all personal data that they no longer regularly require.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_38_p2,art_38,38,2,Art. 38 para. 2,They shall destroy personal data that the Federal Archives do not deem to be worth archiving unless:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39_p1,art_39,39,1,Art. 39 para. 1,"Federal bodies may process personal data for purposes not related to specific persons, in particular for research, planning or statistics, provided:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39_p2,art_39,39,2,Art. 39 para. 2,"Articles 6 paragraph 3, 34 paragraph 2 and 36 paragraph 1 do not apply.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_40_p0,art_40,40,,Art. 40,"If a federal body acts under private law, the provisions on data processing by private persons apply.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p1,art_41,41,1,Art. 41 para. 1,Any person who has a legitimate interest may request the responsible federal body to:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p2,art_41,41,2,Art. 41 para. 2,The applicant may in particular request the federal body to:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41_p3,art_41,41,3,Art. 41 para. 3,"Instead of deleting or destroying the personal data, the federal body shall restrict the processing if:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
