profileitem_id,roleprofile_id,profilecomponent_id,text,context_in_manual,source_document
PI-EX2-T-01,,PC-06,"ensure compliance with and provide legal advice and guidance on data privacy and data protection standards, laws and regulations;","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-T-02,,PC-06,identify and document gaps in compliance;,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-T-03,,PC-06,"develop an audit plan describing the frameworks, standards, procedures and auditing tests;","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-T-04,,PC-06,execute the audit plan and collect evidence and measurements;,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-T-05,,PC-06,develop and communicate audit results (reporting).,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-S-01,,PC-07,understand the implications of modifications of the legal framework to the organisation's cybersecurity and data protection strategy and policies;,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-S-02,,PC-07,"follow and practice auditing frameworks, standards and methodologies;","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-S-03,,PC-07,apply auditing tools and techniques;,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-S-04,,PC-07,work as part of a team and collaborate with colleagues.,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-K-01,,PC-08,"advanced knowledge of National, EU and international cybersecurity and related privacy standards, legislation, policies and regulations;","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-K-02,,PC-08,"knowledge of information security compliance and regulatory requirements at the international, national and EU level;","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-EX2-K-03,,PC-08,"basic understanding of data storage, processing and protections within systems, services and infrastructures.","Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
