cio_metric_id,number,section_heading,cio_metric_section_id,text,source_document
CIO-1.2.1,1.2.1,Enumerating the Environment,CIO-SEC-1,GFE endpoints,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.2,1.2.2,Enumerating the Environment,CIO-SEC-1,GFE networking devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.3,1.2.3,Enumerating the Environment,CIO-SEC-1,GFE input/output devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.4,1.2.4,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Average CDM-discovered GFE endpoints,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.5,1.2.5,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Average CDM-discovered GFE networking devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.6,1.2.6,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Average CDM-discovered GFE input/output devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2.7,1.2.7,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Average CDM-discovered “unknown” devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.3,1.3,Enumerating the Environment,CIO-SEC-1,Percentage of total devices scanned within the timeframes below. These values are populated by CISA 14.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.3.1,1.3.1,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Every 7 days,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.3.2,1.3.2,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Every 14 days,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.3.3,1.3.3,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Every 30 days,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.3.4,1.3.4,Enumerating the Environment,CIO-SEC-1,[Source: CDM] More than 30 days,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.4,1.4,Enumerating the Environment,CIO-SEC-1,"Total count of unsupported end-of-life/end-of-support software, and extended support software.",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.4.1,1.4.1,Enumerating the Environment,CIO-SEC-1,Total count of unsupported Windows server licenses in use (with and without extended support).,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.4.2,1.4.2,Enumerating the Environment,CIO-SEC-1,Total count of unsupported Windows desktop licenses in use (with and without extended support).,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.5,1.5,Enumerating the Environment,CIO-SEC-1,"Report the types of cloud services the agency is using by cloud service provider(s) and what service(s) you are receiving (e.g., mail, database, etc.) (NIST SP 800-145). Each quarter, the list of agency cloud services will be pre-populated from the FedRAMP Marketplace and agencies have the opportunity to verify and adjust their data as needed. the cloud service (Note: agency-wide is also acceptable). Marketplace for the authorized cloud service. or organization that delivers the cloud computing-based service (e.g., Microsoft) service (Ex. Adobe Analytics). status with the FedRAMP Marketplace. This date is expected to match the “ATO Issuance Date (FedRAMP)” for that record. cloud service. This date is expected to match the “ATO Expiration Date (FedRAMP)” for that record. based on the Agency ATO Letter that the FedRAMP PMO has on file. based on the date the agency provided to the FedRAMP PMO. service was authorized on the FedRAMP Marketplace. FedRAMP ATO package is due for re-assessment. specified cloud service is utilized for (Ex. Analytics, Collaboration). (PaaS), Infrastructure as a Service (IaaS), or Software as a Service (SaaS) (NIST SP 800-145) ATO letter on file with the Federal Risk and Authorization Management Program (FedRAMP) PMO. in use and should be removed from pre-population.",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.1,2.1,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.1.1,2.1.1,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from 2.1) encrypt sensitive data at rest?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.2,2.2,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.3,2.3,Multifactor Authentication and Encryption,CIO-SEC-2,"How many systems enforce (not optional) an MFA credential that is phishingresistant (e.g., FIDO2, PIV) as a required authentication mechanism for enterprise identities? 19 Note: The sum of",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.3.1,2.3.1,Multifactor Authentication and Encryption,CIO-SEC-2,+ 2.3.2 cannot exceed the total number of systems provided in 2.3.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.3.2,2.3.2,Multifactor Authentication and Encryption,CIO-SEC-2,How many of the systems (from 2.3) have mandatory FIDO2 enforced (not optional) for enterprise identities as a required authentication mechanism?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.3.3,2.3.3,Multifactor Authentication and Encryption,CIO-SEC-2,"How many of the systems with OT and/or IoT (from 1.1.6) enforce (not optional) an MFA credential that is phishingresistant (e.g., FIDO2, PIV) as a required authentication mechanism for enterprise identities?",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.3.4,2.3.4,Multifactor Authentication and Encryption,CIO-SEC-2,"How many systems in 1.1.6 less 2.3.3 have compensating controls currently in place and 20 operating effectively? 21 19 Per M-19-17 enterprise identities “refers to the unique representation of an employee, a contractor, an enterprise user, such as a mission or business partner, a device, or a technology that a federal agency manages to achieve its mission and business objectives.” It does not include public identities, as defined by M-19-17. In addition, referencing M-22-09 this metric is measuring implementation at the application layer. 20 Per NIST SP 800-53 Rev. 5, Compensating control is defined as ""The security and privacy controls employed in lieu of the controls in the baselines described in NIST Special Publication 800-53B that provide equivalent or comparable protection for a system or organization."" 21 When responding to this question, agencies may only report systems where compensating controls have been implemented, assessed, and documented as operating effectively. Controls that are not implemented or currently in remediation would not constitute effective risk mitigation. Per NIST 800-53A Rev. 5, (continued in page 10 footnote) 9 Number of FISMA Number of FISMA Number of FISMA Low High Systems Moderate Systems Systems Question Systems Systems Systems Systems Systems from Systems from from 1.1.1 from 1.1.2 from 1.1.1 from 1.1.2 1.1.1 1.1.2",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.4,2.4,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.4.1,2.4.1,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.5,2.5,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.5.1,2.5.1,Multifactor Authentication and Encryption,CIO-SEC-2,"How many systems (from 2.5) are internal facing and have mandatory PIV access enforced to get on the network where the system resides? control assessment includes “the testing or evaluation of the controls in an information system or an organization to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security or privacy requirements for the system or the organization.” 22 Do not include systems that allow temporary, time-limited exceptions for individual users in 2.5. If a system belongs in 2.3, then it should not belong in 2.5. Sum (2.3 + 2.4 + 2.5) cannot exceed total number of systems (1.1.1 + 1.1.2). Also, note this section refers to practices in NIST SP 800-63B, section 5.1.1.2 (“Memorized Secret Verifiers”). Questions 2.7 and 2.8 refer to older practices discouraged by SP 800- 63B, and question 2.9 refer to newer practices encouraged by SP 800-63B. For reference, see https://pages.nist.gov/800-63-3/sp800-63b.html#memsecretver 10 Number of FISMA Number of FISMA Number of FISMA Low High Systems Moderate Systems Systems Question Systems Systems Systems Systems Systems from Systems from from 1.1.1 from 1.1.2 from 1.1.1 from 1.1.2 1.1.1 1.1.2",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.6,2.6,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems in 2.4 and,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.6.1,2.6.1,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems in 2.6 have had an auditor or assessor 25 validate the operating effectiveness of the control implementation status within the past 12 months?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.7,2.7,Multifactor Authentication and Encryption,CIO-SEC-2,"Pursuant to M-22-09, Agencies must remove password policies that require regular password rotation from all systems. How many systems (from 2.5) still require the user to change their password at periodic intervals?",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.8,2.8,Multifactor Authentication and Encryption,CIO-SEC-2,"Pursuant to M-22-09, Agencies must remove password policies that require special characters from all systems. How many systems (from 2.5) require password composition rules other than length (e.g., requiring numbers, upper/lowercase and special characters?",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.9,2.9,Multifactor Authentication and Encryption,CIO-SEC-2,"How many systems (from 2.5) compare userchosen passwords against passwords known to be compromised from previous breaches and knownweak passwords (e.g., dictionary words, or the user’s username)? 26 23 Per NIST SP 800-53 Rev. 5, Compensating control is defined as ""The security and privacy controls employed in lieu of the controls in the baselines described in NIST Special Publication 800-53B that provide equivalent or comparable protection for a system or organization."" 24 When responding to this question, agencies may only report systems where compensating controls have been implemented, assessed, and documented as operating effectively. Controls that are not implemented or currently in remediation would not constitute effective risk mitigation. Per NIST 800-53A Rev. 5, control assessment includes “the testing or evaluation of the controls in an information system or an organization to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security or privacy requirements for the system or the organization.” 25 Includes Agency Inspector General assessors where applicable 26 For an example of a federal information system performing this practice, see https://home.dotgov.gov/2018/4/17/increase-security-passwords/ 11 MFA for Public Identities Number of FISMA Number of FISMA Number of FISMA Low Question High Systems Moderate Systems Systems Systems Systems Systems Systems Systems from Systems from from 1.1.1 from 1.1.2 from 1.1.1 from 1.1.2 1.1.1 1.1.2",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.10,2.10,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems (from 1.1.1 and 1.1.2) have public identities?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.10.1,2.10.1,Multifactor Authentication and Encryption,CIO-SEC-2,How many systems identified in question 2.10 offer phishing-resistant MFA as an option for a public identity authentication mechanism?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.10.2,2.10.2,Multifactor Authentication and Encryption,CIO-SEC-2,"How many systems (from 2.10 less 2.10.1) provide an option for MFA credentials susceptible to phishing (e.g., push notifications, OTP, or use of SMS or voice) as an authentication mechanism?",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.10.3,2.10.3,Multifactor Authentication and Encryption,CIO-SEC-2,"How many of the systems identified in 2.10 allow user ID and password as the only authentication mechanism for public identities 28 (e.g., MFA is not available)?",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.10.4,2.10.4,Multifactor Authentication and Encryption,CIO-SEC-2,How many of the systems identified in question,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.11,2.11,Multifactor Authentication and Encryption,CIO-SEC-2,Please provide the number of systems that provide enterprise identity and access management services.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-2.11.1,2.11.1,Multifactor Authentication and Encryption,CIO-SEC-2,"Please provide the number of systems subject to identity management services from a system identified under 2.11. 27 Public Identities, per M-19-17: “Public identity refers to the unique representation of a subject that a federal agency interacts with, but does not directly manage, in order to achieve its mission and business objectives.” 28 ""Do not include systems that allow temporary, time-limited exceptions for individual users in 2.10.3. If a system belongs in 2.10.1 or 2.10.2, then it should not belong in 2.10.3. Sum (2.10.1 + 2.10.2 + 2.10.3) cannot be less than or exceed the total number of systems (2.10). 29 Per NIST SP 800-63-3, “The party that manages the subscriber’s primary authentication credentials and issues assertions derived from those credentials.”",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-3.1,3.1,Logging,CIO-SEC-3,"Using the model defined in OMB M-21-31, provide a self-evaluation of the maturity of the 30 agency’s enterprise log management capability. either not performed or partially performed are performed intermediate criticality are performed",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-3.1.1,3.1.1,Logging,CIO-SEC-3,"Of the assessment provided at the enterprise level above, provide the number of systems from 1.1.1 and 1.1.2 that are providing required data elements per M- 21-31 for centralized access and visibility at each logging maturity level by FIPS 31 199 impact level. FIPS 199 Level EL0 EL1 EL2 EL3 High Moderate Low",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-3.1.2,3.1.2,Logging,CIO-SEC-3,Please provide the number of HVAs from 1.1.5 that are providing required data elements per M-21-31 for centralized access and visibility: 32 Purposely Blank EL0 EL1 EL2 EL3 HVA,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1,4.1,Critical Software,CIO-SEC-4,"As per M-21-30, “agencies must identify their critical software and adopt the required security measures for the use of that software.” Provide the total number of on-premise and uniquely managed 34 software products categorized as critical software. This is a count of products rather than instances. Regardless of the number of instances deployed across an agency, the agency will count this product as one EO-Critical Software product for each uniquely managed product. For the table below, provide the total number of on-premise and uniquely managed software products categorized as critical software for which the security measure is incorporated, the risk has been accepted for not incorporating the security measure, or the security measure is not applicable. Please note, this table only represents a subset of the required security measures outlined in Security Measures for EO-Critical Software Use. Critical software for Critical software which risk of not Critical software where Security Measure incorporating security incorporating the security measure is not measure security measure has applicable been accepted",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.1,4.1.1,Critical Software,CIO-SEC-4,Use multi-factor authentication that is verifier impersonation- 4.1.1.a 4.1.1.b 4.1.1.c resistant for all users and administrators (SM 1.1),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.2,4.1.2,Critical Software,CIO-SEC-4,Use fine-grained access control for data 4.1.2.a 4.1.2.b 4.1.2.c and resources (SM 2.2),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.3,4.1.3,Critical Software,CIO-SEC-4,Protect data at rest by encrypting 4.1.3.a 4.1.3.b 4.1.3.c sensitive data (SM 2.3),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.4,4.1.4,Critical Software,CIO-SEC-4,Protect data in transit by using mutual authentication whenever feasible and 4.1.4.a 4.1.4.b 4.1.4.c by encrypting sensitive data communications (SM 2.4) As defined in NIST’s Definition of Critical Software under Executive Order (EO) 14028. 14 Critical software for Critical software which risk of not Critical software where Security Measure incorporating security incorporating the security measure is not measure security measure has applicable been accepted,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.5,4.1.5,Critical Software,CIO-SEC-4,"Back up data, exercise backup restoration, and be 4.1.5.a 4.1.5.b 4.1.5.c prepared to recover data (SM 2.5)",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.6,4.1.6,Critical Software,CIO-SEC-4,Use patch management practices to maintain EO-Critical Software platforms and 4.1.6.a 4.1.6.b 4.1.6.c all software deployed to those platforms (SM 3.2),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.1.7,4.1.7,Critical Software,CIO-SEC-4,Configure logging to record the necessary information about security events involving EO-Critical 4.1.7.a 4.1.7.b 4.1.7.c Software and all software running on those platforms (SM 4.1),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.2,4.2,Critical Software,CIO-SEC-4,Has the agency established a software inventory?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.2.1,4.2.1,Critical Software,CIO-SEC-4,Has the agency established and maintained a software inventory for EO-Critical Software?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.3,4.3,Critical Software,CIO-SEC-4,Provide the total count of non-critical software products from the agency software inventory. (Note:,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.3.1,4.3.1,Critical Software,CIO-SEC-4,Provide the number of non-critical software products for which a software attestation is required to be collected from the software producer. 36,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.3.2,4.3.2,Critical Software,CIO-SEC-4,Provide the number of software attestations (for non-critical software from 4.3.1) that were collected from the software producer.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.3.3,4.3.3,Critical Software,CIO-SEC-4,Provide the number of extension requests (for non-critical software from 4.3.1) submitted by the agency to OMB with the associated POA&M from the software producer.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.3.4,4.3.4,Critical Software,CIO-SEC-4,Provide the number of waiver requests (for non-critical software from 4.3.1) submitted by the agency to OMB with the agency’s risk mitigation plan.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.4,4.4,Critical Software,CIO-SEC-4,Provide the total count of critical software products from the agency software inventory. (Note: 4.3 +,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.4.1,4.4.1,Critical Software,CIO-SEC-4,Provide the number of critical software products for which a software attestation is required to be collected from the software producer.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.4.2,4.4.2,Critical Software,CIO-SEC-4,Provide the number of software attestations (for critical software from 4.4.1) that were collected from the software producer.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.4.3,4.4.3,Critical Software,CIO-SEC-4,Provide the number of extension requests (for critical software from 4.4.1) that were submitted by the agency to OMB with the associated POA&M from the software producer.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-4.4.4,4.4.4,Critical Software,CIO-SEC-4,Provide the number of waiver requests (for critical software from 4.4.1) that were submitted by the agency to OMB with the agency’s risk mitigation plan.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-5.1,5.1,Implementing IPv6,CIO-SEC-5,That only have IPv4 operational,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-5.2,5.2,Implementing IPv6,CIO-SEC-5,That have both IPv4 and IPv6 operational,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-5.3,5.3,Implementing IPv6,CIO-SEC-5,That only have IPv6 operational,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-6.1,6.1,Workforce,CIO-SEC-6,"Fill out the following table with the agency’s top 7 critical cyber workforce roles. 41 At least one role should be provided. The numbers provided may include contractors and government employees. The totals should include open billets, as well as positions that have not been created due to resource or other constraints, using the work roles defined in the NICE Framework (NIST SP 800-181 Rev. 1). Vacant Positions Emerging Need 42 (not Work Role ID Filled Positions (funded) yet created nor funded) 6.1.1.id 6.1.1.a 6.1.1.b 6.1.1.c 6.1.2.id 6.1.2.a 6.1.2.b 6.1.2.c 6.1.3.id 6.1.3.a 6.1.3.b 6.1.3.c 6.1.4.id 6.1.4.a 6.1.4.b 6.1.4.c 6.1.5.id 6.1.5.a 6.1.5.b 6.1.5.c 6.1.6.id 6.1.6.a 6.1.6.b 6.1.6.c 6.1.7.id 6.1.7.a 6.1.7.b 6.1.7.c",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.1,7.1,Ground Truth Testing,CIO-SEC-7,Please answer the following questions (Yes/No):,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.1.1,7.1.1,Ground Truth Testing,CIO-SEC-7,Does the agency utilize dynamic code analysis as a matter of policy and practice to test code prior to deploying it to a production environment?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.1.2,7.1.2,Ground Truth Testing,CIO-SEC-7,Does the agency utilize static code analysis as a matter of policy and practice to test code prior to deploying it to a production environment?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.1.3,7.1.3,Ground Truth Testing,CIO-SEC-7,Has the agency leveraged one or more public paid vulnerability reporting program (bug bounty) programs in FY25?,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.1.4,7.1.4,Ground Truth Testing,CIO-SEC-7,Has the agency leveraged one or more public private vulnerability reporting program (bug bounty) programs in FY25? The following question (7.2) and sub-questions will be auto populated by CISA HVA PMO;,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.2,7.2,Ground Truth Testing,CIO-SEC-7,[Source: CISA] Have all HVA Tier 1 systems (from 1.1.5.1) received a CISA HVA PMO Assessment in the past 3 years? (Yes/No) As determined by agency cyber program needs (current and future). Represents the next Fiscal Year.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.2.1,7.2.1,Ground Truth Testing,CIO-SEC-7,[Source: CISA] How many systems from 1.1.5 have received a CISA HVA PMO Tier 1 Assessment in FY25? This number should be reported as Fiscal Year to date.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.2.1.1,7.2.1.1,Ground Truth Testing,CIO-SEC-7,"[Source: CISA] How many HVA Tier-1 systems have outstanding major, critical, and/or high-risk findings 43 that have not been remediated within the initial 30 days of receipt of the RVA and/or SAR reports as a result of a CISA HVA PMO Tier 1 assessment? (BOD 18-02 Action 4 Part 3)",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.2.2,7.2.2,Ground Truth Testing,CIO-SEC-7,[Source: CISA] How many Systems from 1.1.5 have received Agency-led Non-Tier 1 Assessments (NT1) in FY25? This number should be reported as Fiscal Year to date.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.3,7.3,Ground Truth Testing,CIO-SEC-7,Red Team,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.3.1,7.3.1,Ground Truth Testing,CIO-SEC-7,"Does the agency have a centralized red team , decentralized red teams, or no red team(s) 45 (either staff or contracted)? (Centralized, Decentralized, No)",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.4,7.4,Ground Truth Testing,CIO-SEC-7,Threat Intelligence,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.4.1,7.4.1,Ground Truth Testing,CIO-SEC-7,"Do agency red team and penetration testing activities incorporate active tactics, techniques and procedures (TTPs) from threat intelligence? (Yes/No)",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.4.2,7.4.2,Ground Truth Testing,CIO-SEC-7,Does your agency integrate threat intelligence into a Security Information and Event Management (SIEM)? (Yes/No),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-7.5,7.5,Ground Truth Testing,CIO-SEC-7,Blue Team,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
