section_id,document_id,section_number,heading,level,parent_section_id,source_document
ES-S2.1,DOC-ES,2.1,Access to Education Records,2,ES-S2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.2,DOC-ES,2.2,Amendment of Education Records,2,ES-S2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3,DOC-ES,2.3,Disclosure of Education Records,2,ES-S2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3.1,DOC-ES,2.3.1,School Official,3,ES-S2.3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3.2,DOC-ES,2.3.2,Seeks or Intends to Enroll,3,ES-S2.3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3.3,DOC-ES,2.3.3,Directory Information,3,ES-S2.3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3.4,DOC-ES,2.3.4,Dependent Student,3,ES-S2.3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2.3.5,DOC-ES,2.3.5,Other Exceptions,3,ES-S2.3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S3,DOC-ES,3,Annual Notification of FERPA Rights,1,,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S4,DOC-ES,4,Complaints of Alleged Violations of FERPA,1,,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S5,DOC-ES,5,Additional Information,1,,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
