clause_id,section_id,document_id,label,text,source_page,source_document
PG-C2.3.1.2,PG-S2.3.1,DOC-PG,"School Official, paragraph 2","Also, under the “school officials” exception to the consent requirement, FERPA permits a school to disclose education records to contractors (e.g., software/application vendors, lawyers), consultants (e.g., nutritional or information technology consultants), volunteers (e.g., home room parent volunteers, field trip chaperones, student volunteers), or other third parties to whom the school has outsourced institutional services or functions, provided that the outside party:",3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.2(1),PG-S2.3.1,DOC-PG,"School Official, outsourcing condition 1",Performs an institutional service or function for which the school would otherwise use employees;,3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.2(2),PG-S2.3.1,DOC-PG,"School Official, outsourcing condition 2",Is under the direct control of the school with respect to the use and maintenance of education records;,3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.2(3),PG-S2.3.1,DOC-PG,"School Official, outsourcing condition 3","Is subject to the requirements in FERPA that PII from education records may be used only for the purposes for which the disclosure was made, and which govern the redisclosure of PII from education records; and",3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.2(4),PG-S2.3.1,DOC-PG,"School Official, outsourcing condition 4",Meets the criteria specified in the school’s annual notification of FERPA rights for being a school official with a legitimate educational interest in the education records.,3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.3,PG-S2.3.1,DOC-PG,"School Official, further resources",More information regarding the use of school volunteers and FERPA is available at https://studentprivacy.ed.gov/training/school-volunteers-and-ferpa.,3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.2.1,PG-S2.3.2,DOC-PG,"Seeks or Intends to Enroll, paragraph 1","Another exception to FERPA’s general consent requirement permits a school to disclose PII from a student’s education records, without consent, to another school in which the student seeks or intends to enroll, or where the student is already enrolled, as long as the purpose of the disclosure is related to the student’s enrollment or transfer. A school that discloses education records under this exception must make a reasonable attempt to notify the parent of the disclosure, unless the disclosure is initiated by the parent, or the school’s annual notification of rights under FERPA includes a notice that it forwards education records to other schools that have requested the records and in which the student seeks or intends to enroll or is already enrolled, as long as the disclosure is for purposes related to the student’s enrollment or transfer. A school that discloses education records under this exception also must provide the parent, upon request, a copy of the records that were disclosed or, upon request, an opportunity for a hearing to amend the records that were disclosed. Under this exception, a school has the discretion to disclose academic, disciplinary, or any other PII from the student’s education records to the new school. Further, a parent does not, under FERPA, have the right to prevent a school from disclosing such PII from the student’s education records, or from communicating information about a student more generally, to the school in which the student seeks or intends to enroll.",3-4,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.3.1,PG-S2.3.3,DOC-PG,"Directory Information, paragraph 1","FERPA also permits a school to disclose PII from a student’s education records, without consent, when such information has been appropriately designated as “directory information” and the parent has not opted out of the disclosure of such designated information. The FERPA regulations define directory information as information in a student’s education record that would not generally be considered harmful or an invasion of privacy if disclosed. Directory information may include information such as the student’s name, address, telephone number, email address, photograph, date and place of birth, major field of study, grade level, enrollment status (e.g., undergraduate or graduate, full-time or part-time), dates of attendance (i.e., the period of time during which the student attends or attended the school), participation in officially recognized activities and sports, weight and height of members of athletic teams, degrees, honors and awards received, and the most recent school attended. FERPA provides that a school may disclose, without consent, directory information if the school has given public notice to parents of the types of PII that it has designated as directory information and the process, including period of time, for parents to opt out of certain directory information disclosures. This notice is often included in the annual notification discussed below. For more information regarding directory information, visit https://studentprivacy.ed.gov/training/b-cs-student-directory-information.",4,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.4.1,PG-S2.3.4,DOC-PG,"Dependent Student, paragraph 1","FERPA provides ways in which a school may share education records on an eligible student with their parents. Schools may, but are not required to, disclose any and all education records to parents, without the consent of the eligible student, if the student is a “dependent student,” as that term is defined in Section 152 of the Internal Revenue Code. Generally, if either parent has claimed the student as a dependent on the parent’s most recent income tax return, a school may disclose the student’s education records to either parent, without the eligible student’s consent.",4,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.4.2,PG-S2.3.4,DOC-PG,"Dependent Student, paragraph 2","This exception to FERPA’s general consent rule also permits institutions of postsecondary education to share information with parents of students who are enrolled in both a high school and a college or university (dually enrolled). In this situation, the parents retain the rights over the student’s education records maintained by the high school, if the student is under the age of 18 years, and the student retains the rights over the education records maintained by the college or university.",4,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.0,PG-S2.3.5,DOC-PG,"Other Exceptions, lead-in","Provided certain conditions are met that are not included in the summary below, other exceptions to FERPA’s general consent requirement that would permit the disclosure of PII from education records include, but are not limited to, the following:",5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.1,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 1","To authorized representatives of, among others, State and local educational authorities, such as a State department of education, in connection with an audit or evaluation of Federal- or State-supported education programs, or for the enforcement of or compliance with Federal legal requirements that relate to those programs",5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.2,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 2",To a representative of a State or local child welfare agency or Tribal organization regarding a child in foster care,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.3,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 3",To State and local officials or authorities pursuant to a State statute concerning the juvenile justice system and the system’s ability to effectively serve the student whose records are being disclosed,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.4,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 4","To organizations conducting studies for, or on behalf of, the school for specified purposes including improving instruction",5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.5,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 5",To comply with a judicial order or a lawfully issued subpoena,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.5.6,PG-S2.3.5,DOC-PG,"Other Exceptions, bullet 6",In connection with a health or safety emergency,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C3.1,PG-S3,DOC-PG,"Annual Notification of FERPA Rights, paragraph 1","Under FERPA, a school must annually notify parents of their rights under FERPA. There are separate annual notifications and other rights under IDEA. The FERPA annual notification must include information regarding a parent’s right to inspect and review his or her child’s education records, the right to seek to amend the records, the right to consent to disclosure of PII from the records (except in certain circumstances), and the right to file a complaint with SPPO regarding an alleged failure by a school to comply with FERPA. The notification must also inform parents of the school’s criteria for the terms “school official” and “legitimate educational interest” in certain instances. A school is not required to notify parents individually, but rather is required to provide the notice by any means that are reasonably likely to inform parents of their rights. These means could include publication in a school activities calendar, newsletter, student handbook, or on a school’s website.",5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C4.0,PG-S4,DOC-PG,"Complaints, lead-in",Parents who believe that their FERPA rights may have been violated may file a complaint with SPPO at https://studentprivacy.ed.gov/file-a-complaint. SPPO will review the complaint to ensure the complaint:,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C4.1,PG-S4,DOC-PG,"Complaints, criterion 1","Is filed, in writing, by a parent who maintains FERPA rights over the education records that are the subject of the complaint;",5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C4.2,PG-S4,DOC-PG,"Complaints, criterion 2",Is submitted to SPPO within 180 days of the date of the alleged violation or of the date that the parent knew or reasonably should have known of the alleged violation; and,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C4.3,PG-S4,DOC-PG,"Complaints, criterion 3",Contains specific allegations of fact giving reasonable cause to believe that a violation of FERPA has occurred.,5,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C4.4,PG-S4,DOC-PG,"Complaints, resolution","SPPO will then make a case-by-case determination to determine the best mechanism for resolving the underlying situation. Sometimes the action will be a formal investigation; for other complaints, consistent with the statute and applicable regulations, we will take other appropriate actions, such as acting as an intermediary or providing resolution assistance. More information regarding our complaint process is available at https://studentprivacy.ed.gov/file-a-complaint.",6,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C5.1,PG-S5,DOC-PG,"Additional Information, paragraph 1","For more information regarding FERPA and other student privacy issues, please visit our website at https://studentprivacy.ed.gov.",6,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C5.2,PG-S5,DOC-PG,"Additional Information, paragraph 2","If you have questions about FERPA that are not addressed here, you may also submit a question through our website at https://studentprivacy.ed.gov/contact or write to SPPO for additional guidance at the following address: Student Privacy Policy Office, U.S. Department of Education, 400 Maryland Avenue, SW, Washington, DC 20202-8520",6,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
ES-C1.1,ES-S1,DOC-ES,Paragraph 1,"The Family Educational Rights and Privacy Act or FERPA (20 U.S.C. §1232g; 34 CFR Part 99) provides certain rights for parents regarding their children’s education records. When a student reaches 18 years of age or attends an institution of postsecondary education at any age, the student becomes an “eligible student,” and all rights under FERPA transfer from the parent to the student. This guide discusses an eligible student’s rights under FERPA. A companion document discussing parents’ rights under FERPA is available on our website at https://studentprivacy.ed.gov/resources/ferpa-general-guidance-parents.",1,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C1.2,ES-S1,DOC-ES,Paragraph 2,"FERPA is a Federal law that is administered by the Student Privacy Policy Office (SPPO) in the U.S. Department of Education (Department). FERPA protects “education records,” which are generally defined as records that are directly related to a student and maintained by an educational agency or institution or by a party acting for the agency or institution. An “educational agency or institution,” hereinafter referred to as a “school,” generally means a school district, a public elementary or secondary school, or an institution of postsecondary education, such as a college or university. There are also a few exemptions to the definition of “education records,” such as law enforcement unit records and sole possession records. More information is available at https://studentprivacy.ed.gov/faq/what-records-are-exempted-ferpa.",1,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C1.3,ES-S1,DOC-ES,Paragraph 3,"FERPA applies to all schools that receive funding under any program administered by the Department. Private and faith-based schools at the elementary and secondary levels generally do not receive such funding and are, therefore, generally not subject to FERPA. Private institutions of postsecondary education, however, generally do receive such funding (e.g., student aid under title IV of the Higher Education Act of 1965, as amended) and are, therefore, generally subject to FERPA. In addition, the confidentiality of personally identifiable information (PII) in the education records of students with disabilities is further protected by Part B of the Individuals with Disabilities Education Act (IDEA) (20 U.S.C. 1417(c) and 34 CFR §§ 300.610-300.626). The IDEA and its implementing regulations contain confidentiality provisions that are similar to, but broader than, FERPA, and cover students with disabilities who have turned 18 but are still eligible under IDEA. Depending on State law, the rights accorded to parents under IDEA Part B may not automatically transfer to the student when the student with a disability reaches 18 years old or attends an institution of postsecondary education at any age. The IDEA-FERPA crosswalk contains additional information comparing IDEA and FERPA and is available at https://studentprivacy.ed.gov/resources/ferpaidea-crosswalk.",1,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.0,ES-S2,DOC-ES,Lead-in,"The rights provided by FERPA to an eligible student include, but are not limited to:",2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.1.1,ES-S2.1,DOC-ES,"Access to Education Records, paragraph 1","Under FERPA, a school or State educational agency (SEA) must provide an eligible student with an opportunity to inspect and review their education records within a reasonable period of time, but not more than 45 calendar days following the receipt of a request. A school or SEA is generally not required to provide an eligible student with copies of education records unless circumstances effectively prevent an eligible student from exercising their right to inspect and review the education records. For example, if an eligible student who does not live within commuting distance of the school requests access to their education records, the school would be required to make other arrangements for the eligible student to inspect and review the requested records, or to provide a copy of the requested records.",2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.1.2,ES-S2.1,DOC-ES,"Access to Education Records, paragraph 2","FERPA’s access provisions apply to education records maintained by educational agencies or institutions, including documents such as academic transcripts. While eligible students have a right to inspect and review their education records, including academic transcripts maintained by their schools, eligible students do not necessarily have a right to obtain a copy of such records under FERPA.",2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.2.1,ES-S2.2,DOC-ES,"Amendment of Education Records, paragraph 1","Under FERPA, an eligible student has the right to seek amendment or correction of their education records that the eligible student believes to be inaccurate, misleading, or in violation of their rights of privacy. However, while a school is not required to amend an education record in accordance with an eligible student’s request, a school is required to consider the request for amendment, to inform the student of its decision, and, if the request is denied, to advise the student of their right to a hearing on the matter. If, as a result of the hearing, a school decides not to amend the education records, then the eligible student has the right to insert a statement in the record commenting on the contested information or stating why they disagree with the decision, or both. That statement must remain with the contested part of the education record for as long as the record is maintained and be included whenever the contested part is disclosed.",2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.2.2,ES-S2.2,DOC-ES,"Amendment of Education Records, paragraph 2","While an eligible student has the right to seek to amend non-substantive factual errors in the student’s education records, the right is not unlimited. A school is not required by FERPA to afford an eligible student the right to seek to change substantive decisions made by school officials, such as substantive decisions made in the context of grades given to a student based on their performance, other evaluations of the student’s performance, or disciplinary decisions.",2,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1,ES-S2.3,DOC-ES,"Disclosure of Education Records, paragraph 1","Under FERPA, a school generally may not disclose PII from an eligible student’s education records to a third party unless the eligible student has provided prior written consent. Even with the prior written consent of an eligible student, a school is not required by FERPA to disclose PII from education records to third parties. Accordingly, under FERPA, a school may have a policy of not disclosing PII from education records to third parties if the eligible student owes money to the school. There are several exceptions to FERPA’s general consent requirement, some of which are described below. Under these exceptions, schools are permitted to disclose PII from education records without consent to a third party, but they are not required to do so by FERPA.",2-3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1.1,ES-S2.3.1,DOC-ES,"School Official, paragraph 1","FERPA allows “school officials,” including faculty and staff within an institution of postsecondary education, to access PII from education records without consent, provided the school has determined that they have a “legitimate educational interest” in the information. The school’s annual notification of rights under FERPA must specify the criteria for determining which parties are “school officials” and what the school considers to be a “legitimate educational interest.” Typically, a school official has a legitimate educational interest if the official needs to review an education record in order to fulfill their professional responsibility.",3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1.2,ES-S2.3.1,DOC-ES,"School Official, paragraph 2","Also, under the “school official” exception to the consent requirement, FERPA permits a school to disclose PII from education records to contractors (e.g., software/application vendors or lawyers), consultants (e.g., nutritional or information technology consultants), volunteers (e.g., student volunteers or tutors) or other third parties to whom the school has outsourced institutional services or functions, provided that the outside party:",3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1.2(1),ES-S2.3.1,DOC-ES,"School Official, outsourcing condition 1",Performs an institutional service or function for which the school would otherwise use employees;,3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1.2(2),ES-S2.3.1,DOC-ES,"School Official, outsourcing condition 2",Is under the direct control of the school with respect to the use and maintenance of education records;,3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.1.2(3),ES-S2.3.1,DOC-ES,"School Official, outsourcing condition 3","Is subject to the requirements in FERPA that PII from education records may be used only for the purposes for which the disclosure was made, and which govern the redisclosure of PII from education records; and",3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
