clause_id,parent_id,label,citation,level,text,source_document
CL-4C-4-a,CL-4C-4,(a),Section 4C(4)(a),subparagraph,Employee training and management;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-4-b,CL-4C-4,(b),Section 4C(4)(b),subparagraph,"Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-4-c,CL-4C-4,(c),Section 4C(4)(c),subparagraph,"Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-5,SUB-4C,(5),Section 4C(5),paragraph,"Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-1,SUB-4D,(1),Section 4D(1),paragraph,"Design its Information Security Program to mitigate the identified risks, commensurate with the size and complexity of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody, or control.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2,SUB-4D,(2),Section 4D(2),paragraph,Determine which security measures listed below are appropriate and implement such security measures.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-a,CL-4D-2,(a),Section 4D(2)(a),subparagraph,"Place access controls on Information Systems, including controls to authenticate and permit access only to Authorized Individuals to protect against the unauthorized acquisition of Nonpublic Information;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-b,CL-4D-2,(b),Section 4D(2)(b),subparagraph,"Identify and manage the data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes in accordance with their relative importance to business objectives and the organization’s risk strategy;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-c,CL-4D-2,(c),Section 4D(2)(c),subparagraph,"Restrict access at physical locations containing Nonpublic Information, only to Authorized Individuals;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-d,CL-4D-2,(d),Section 4D(2)(d),subparagraph,"Protect by encryption or other appropriate means, all Nonpublic Information while being transmitted over an external network and all Nonpublic Information stored on a laptop computer or other portable computing or storage device or media;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-e,CL-4D-2,(e),Section 4D(2)(e),subparagraph,"Adopt secure development practices for in-house developed applications utilized by the Licensee and procedures for evaluating, assessing or testing the security of externally developed applications utilized by the Licensee;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-f,CL-4D-2,(f),Section 4D(2)(f),subparagraph,Modify the Information System in accordance with the Licensee’s Information Security Program;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-g,CL-4D-2,(g),Section 4D(2)(g),subparagraph,"Utilize effective controls, which may include Multi-Factor Authentication procedures for any individual accessing Nonpublic Information;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-h,CL-4D-2,(h),Section 4D(2)(h),subparagraph,"Regularly test and monitor systems and procedures to detect actual and attempted attacks on, or intrusions into, Information Systems;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-i,CL-4D-2,(i),Section 4D(2)(i),subparagraph,Include audit trails within the Information Security Program designed to detect and respond to Cybersecurity Events and designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the Licensee;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-j,CL-4D-2,(j),Section 4D(2)(j),subparagraph,"Implement measures to protect against destruction, loss, or damage of Nonpublic Information due to environmental hazards, such as fire and water damage or other catastrophes or technological failures; and","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-2-k,CL-4D-2,(k),Section 4D(2)(k),subparagraph,"Develop, implement, and maintain procedures for the secure disposal of Nonpublic Information in any format.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-3,SUB-4D,(3),Section 4D(3),paragraph,Include cybersecurity risks in the Licensee’s enterprise risk management process.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-4,SUB-4D,(4),Section 4D(4),paragraph,Stay informed regarding emerging threats or vulnerabilities and utilize reasonable security measures when sharing information relative to the character of the sharing and the type of information shared; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4D-5,SUB-4D,(5),Section 4D(5),paragraph,Provide its personnel with cybersecurity awareness training that is updated as necessary to reflect risks identified by the Licensee in the Risk Assessment.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4E-1,SUB-4E,(1),Section 4E(1),paragraph,"Require the Licensee’s executive management or its delegates to develop, implement, and maintain the Licensee’s Information Security Program;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4E-2,SUB-4E,(2),Section 4E(2),paragraph,"Require the Licensee’s executive management or its delegates to report in writing at least annually, the following information:","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4E-2-a,CL-4E-2,(a),Section 4E(2)(a),subparagraph,The overall status of the Information Security Program and the Licensee’s compliance with this Act; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4E-2-b,CL-4E-2,(b),Section 4E(2)(b),subparagraph,"Material matters related to the Information Security Program, addressing issues such as risk assessment, risk management and control decisions, Third-Party Service Provider arrangements, results of testing, Cybersecurity Events or violations and management’s responses thereto, and recommendations for changes in the Information Security Program.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4E-3,SUB-4E,(3),Section 4E(3),paragraph,"If executive management delegates any of its responsibilities under Section 4 of this Act, it shall oversee the development, implementation and maintenance of the Licensee’s Information Security Program prepared by the delegate(s) and shall receive a report from the delegate(s) complying with the requirements of the report to the Board of Directors above.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4F-1,SUB-4F,(1),Section 4F(1),paragraph,A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4F-2,SUB-4F,(2),Section 4F(2),paragraph,"A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-1,SUB-4H,(1),Section 4H(1),paragraph,"As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2,SUB-4H,(2),Section 4H(2),paragraph,Such incident response plan shall address the following areas:,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-a,CL-4H-2,(a),Section 4H(2)(a),subparagraph,The internal process for responding to a Cybersecurity Event;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-b,CL-4H-2,(b),Section 4H(2)(b),subparagraph,The goals of the incident response plan;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-c,CL-4H-2,(c),Section 4H(2)(c),subparagraph,"The definition of clear roles, responsibilities and levels of decision-making authority;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-d,CL-4H-2,(d),Section 4H(2)(d),subparagraph,External and internal communications and information sharing;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-e,CL-4H-2,(e),Section 4H(2)(e),subparagraph,Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-f,CL-4H-2,(f),Section 4H(2)(f),subparagraph,Documentation and reporting regarding Cybersecurity Events and related incident response activities; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4H-2-g,CL-4H-2,(g),Section 4H(2)(g),subparagraph,The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-5B-1,SUB-5B,(1),Section 5B(1),paragraph,Determine whether a Cybersecurity Event has occurred;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-5B-2,SUB-5B,(2),Section 5B(2),paragraph,Assess the nature and scope of the Cybersecurity Event;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-5B-3,SUB-5B,(3),Section 5B(3),paragraph,Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-5B-4,SUB-5B,(4),Section 5B(4),paragraph,"Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-1,SUB-6A,(1),Section 6A(1),paragraph,"This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-2,SUB-6A,(2),Section 6A(2),paragraph,The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-2-a,CL-6A-2,(a),Section 6A(2)(a),subparagraph,"A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-2-b,CL-6A-2,(b),Section 6A(2)(b),subparagraph,A Cybersecurity Event that has a reasonable likelihood of materially harming:,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-2-b-i,CL-6A-2-b,(i),Section 6A(2)(b)(i),clause,Any Consumer residing in this State; or,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6A-2-b-ii,CL-6A-2-b,(ii),Section 6A(2)(b)(ii),clause,Any material part of the normal operation(s) of the Licensee.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-1,SUB-6B,(1),Section 6B(1),paragraph,Date of the Cybersecurity Event;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-2,SUB-6B,(2),Section 6B(2),paragraph,"Description of how the information was exposed, lost, stolen, or breached, including the specific roles and responsibilities of Third-Party Service Providers, if any;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-3,SUB-6B,(3),Section 6B(3),paragraph,How the Cybersecurity Event was discovered;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-4,SUB-6B,(4),Section 6B(4),paragraph,"Whether any lost, stolen, or breached information has been recovered and if so, how this was done;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-5,SUB-6B,(5),Section 6B(5),paragraph,The identity of the source of the Cybersecurity Event;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-6,SUB-6B,(6),Section 6B(6),paragraph,"Whether Licensee has filed a police report or has notified any regulatory, government or law enforcement agencies and, if so, when such notification was provided;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-7,SUB-6B,(7),Section 6B(7),paragraph,"Description of the specific types of information acquired without authorization. Specific types of information means particular data elements including, for example, types of medical information, types of financial information or types of information allowing identification of the Consumer;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-8,SUB-6B,(8),Section 6B(8),paragraph,The period during which the Information System was compromised by the Cybersecurity Event;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-9,SUB-6B,(9),Section 6B(9),paragraph,The number of total Consumers in this State affected by the Cybersecurity Event. The Licensee shall provide the best estimate in the initial report to the Commissioner and update this estimate with each subsequent report to the Commissioner pursuant to this section;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-10,SUB-6B,(10),Section 6B(10),paragraph,"The results of any internal review identifying a lapse in either automated controls or internal procedures, or confirming that all automated controls or internal procedures were followed;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-11,SUB-6B,(11),Section 6B(11),paragraph,Description of efforts being undertaken to remediate the situation which permitted the Cybersecurity Event to occur;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-12,SUB-6B,(12),Section 6B(12),paragraph,A copy of the Licensee’s privacy policy and a statement outlining the steps the Licensee will take to investigate and notify Consumers affected by the Cybersecurity Event; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6B-13,SUB-6B,(13),Section 6B(13),paragraph,Name of a contact person who is both familiar with the Cybersecurity Event and authorized to act for the Licensee.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
